연도,시군구,총인구,세대인구,남자인구,여자인구
1995,춘천시,232682,70774,115573,117109
1995,원주시,237537,70874,118552,118985
1995,강릉시,223539,67106,111304,112235
1995,동해시,100277,29988,50416,49861
1995,태백시,64850,18773,33102,31748
1995,속초시,80625,25750,40033,40592
1995,삼척시,90005,26424,45572,44433
1995,홍천군,75924,22226,38533,37391
1995,횡성군,48773,14331,24851,23922
1995,영월군,53398,16510,26896,26502
1995,평창군,49781,14834,25284,24497
1995,정선군,61115,18199,31537,29578
1995,철원군,54281,15627,27545,26736
1995,화천군,26321,8342,13478,12843
1995,양구군,24233,7272,12329,11904
1995,인제군,35079,10521,17923,17156
1995,고성군,39005,11703,19539,19466
1995,양양군,31063,9299,15460,15603
1996,춘천시,235729,72969,116931,118798
1996,원주시,244535,74222,122141,122394
1996,강릉시,224111,68938,111510,112601
1996,동해시,101912,31181,51148,50764
1996,태백시,62436,18607,31819,30617
1996,속초시,82472,26968,40802,41670
1996,삼척시,87303,26466,44088,43215
1996,홍천군,75493,22851,38321,37172
1996,횡성군,48112,14526,24523,23589
1996,영월군,51787,16515,26083,25704
1996,평창군,49361,15376,25075,24286
1996,정선군,57350,17679,29615,27735
1996,철원군,54295,16030,27638,26657
1996,화천군,26010,8508,13451,12559
1996,양구군,24047,7415,12270,11777
1996,인제군,34670,10730,17749,16921
1996,고성군,38142,11808,19089,19053
1996,양양군,30906,9596,15381,15525
1997,춘천시,240226,76110,119154,121072
1997,원주시,254271,79066,127008,127263
1997,강릉시,225528,70843,112273,113255
1997,동해시,103112,32328,51965,51147
1997,태백시,60438,18536,30794,29644
1997,속초시,85263,28451,42266,42997
1997,삼척시,86016,26771,43473,42543
1997,홍천군,75105,23457,38175,36930
1997,횡성군,47081,14551,24014,23067
1997,영월군,50498,16580,25478,25020
1997,평창군,48811,15761,24733,24078
1997,정선군,54668,17414,28250,26418
1997,철원군,54194,16474,27612,26582
1997,화천군,25627,8619,13222,12405
1997,양구군,23778,7483,12176,11602
1997,인제군,34187,10859,17483,16704
1997,고성군,37384,11918,18775,18609
1997,양양군,30919,9936,15429,15490
1998,춘천시,244076,78843,121095,122981
1998,원주시,260355,82395,130143,130212
1998,강릉시,229449,73705,114544,114905
1998,동해시,103474,33022,52230,51244
1998,태백시,59896,18794,30549,29347
1998,속초시,86923,29729,43167,43756
1998,삼척시,85846,27455,43465,42381
1998,홍천군,75251,24007,38263,36988
1998,횡성군,47362,14949,24213,23149
1998,영월군,50287,16952,25494,24793
1998,평창군,48746,16103,24752,23994
1998,정선군,53849,17625,27814,26035
1998,철원군,54500,16975,27816,26684
1998,화천군,25916,8818,13344,12572
1998,양구군,24027,7794,12303,11724
1998,인제군,34288,11112,17600,16688
1998,고성군,37319,12127,18780,18539
1998,양양군,31103,10263,15607,15496
1999,춘천시,248370,81288,123042,125328
1999,원주시,265073,84903,132416,132657
1999,강릉시,232067,75817,115909,116158
1999,동해시,103704,33674,52344,51360
1999,태백시,58588,18968,29896,28692
1999,속초시,88764,30891,44103,44661
1999,삼척시,84523,27647,42748,41775
1999,홍천군,74939,24525,38078,36861
1999,횡성군,46822,15032,23930,22892
1999,영월군,49746,17125,25158,24588
1999,평창군,48003,16119,24435,23568
1999,정선군,51734,17307,26757,24977
1999,철원군,53946,17164,27563,26383
1999,화천군,25544,8865,13078,12466
1999,양구군,23756,7911,12158,11598
1999,인제군,34090,11294,17518,16572
1999,고성군,36369,12118,18272,18097
1999,양양군,30941,10412,15531,15410
2000,춘천시,251212,83844,124467,126745
2000,원주시,270009,88050,134837,135172
2000,강릉시,233121,77753,116331,116790
2000,동해시,103654,34200,52235,51419
2000,태백시,57023,19042,29113,27910
2000,속초시,90032,32019,44647,45385
2000,삼척시,82177,27655,41447,40730
2000,홍천군,74461,24930,37748,36713
2000,횡성군,45961,15149,23517,22444
2000,영월군,48393,17068,24434,23959
2000,평창군,47125,16251,23867,23258
2000,정선군,50572,17570,26129,24443
2000,철원군,53190,17351,27121,26069
2000,화천군,25188,8950,12924,12264
2000,양구군,23420,7908,11983,11437
2000,인제군,33618,11405,17308,16310
2000,고성군,35391,12089,17783,17608
2000,양양군,30141,10494,15242,14899
2001,춘천시,251142,84886,124440,126702
2001,원주시,274266,90841,136976,137290
2001,강릉시,231943,78910,115662,116281
2001,동해시,103570,34845,52114,51456
2001,태백시,56193,19467,28624,27569
2001,속초시,90231,32782,44630,45601
2001,삼척시,79770,27523,40164,39606
2001,홍천군,74019,25585,37530,36489
2001,횡성군,45496,15406,23270,22226
2001,영월군,52101,18003,25721,26380
2001,평창군,46478,16523,23521,22957
2001,정선군,49048,17568,25320,23728
2001,철원군,52072,17331,26456,25616
2001,화천군,24965,9040,12845,12120
2001,양구군,23198,8004,11824,11374
2001,인제군,33092,11421,16976,16116
2001,고성군,34643,12216,17419,17224
2001,양양군,30180,10772,15274,14906
2002,춘천시,252624,86815,124986,127638
2002,원주시,276889,93396,138224,138665
2002,강릉시,229869,80043,114579,115290
2002,동해시,102857,35436,51737,51120
2002,태백시,55154,19722,28096,27058
2002,속초시,90029,33258,44561,45468
2002,삼척시,77434,27510,39036,38398
2002,홍천군,72514,25666,36819,35695
2002,횡성군,45198,15722,23066,22132
2002,영월군,45273,16983,22833,22440
2002,평창군,46262,16971,23441,22821
2002,정선군,51226,18182,26087,25139
2002,철원군,50532,17127,25673,24859
2002,화천군,24088,8889,12334,11754
2002,양구군,22527,7984,11481,11046
2002,인제군,32447,11524,16697,15750
2002,고성군,33721,12287,17053,16668
2002,양양군,30076,11098,15242,14834
2003,춘천시,253363,89901,125240,128123
2003,원주시,280738,97162,140036,140702
2003,강릉시,229073,82020,114231,114842
2003,동해시,101764,36092,51250,50514
2003,태백시,53948,19870,27451,26497
2003,속초시,89047,33848,44040,45007
2003,삼척시,75759,27748,38205,37554
2003,홍천군,71351,25809,36279,35072
2003,횡성군,44306,15852,22618,21688
2003,영월군,44027,17004,22231,21796
2003,평창군,46375,17881,23545,22830
2003,정선군,46225,18145,23894,22331
2003,철원군,50212,17765,25801,24411
2003,화천군,24540,9784,12983,11557
2003,양구군,21995,8132,11344,10651
2003,인제군,32092,11738,16635,15457
2003,고성군,32739,12326,16554,16185
2003,양양군,29480,11242,14957,14523
2004,춘천시,254323,92873,125914,128409
2004,원주시,284628,100691,141859,142769
2004,강릉시,227259,83086,113261,113998
2004,동해시,100727,36445,50848,49879
2004,태백시,53264,20141,27171,26093
2004,속초시,87933,34012,43413,44520
2004,삼척시,74301,27947,37529,36772
2004,홍천군,71907,26896,36707,35200
2004,횡성군,44297,16386,22612,21685
2004,영월군,42406,16733,21469,20937
2004,평창군,45311,17707,23027,22284
2004,정선군,45419,18314,23409,22010
2004,철원군,49650,18025,25527,24123
2004,화천군,24267,9796,12735,11532
2004,양구군,21692,8192,11197,10495
2004,인제군,32443,12200,16843,15600
2004,고성군,32361,12484,16398,15963
2004,양양군,29187,11427,14884,14303
2005,춘천시,254999,94957,126039,128960
2005,원주시,288454,104779,143833,144621
2005,강릉시,224391,84259,111728,112663
2005,동해시,99230,36713,50141,49089
2005,태백시,52463,20320,26867,25596
2005,속초시,87124,34484,43003,44121
2005,삼척시,73134,28277,36873,36261
2005,홍천군,70811,26997,36116,34695
2005,횡성군,43678,16704,22321,21357
2005,영월군,41538,16830,21096,20442
2005,평창군,45033,18021,22912,22121
2005,정선군,44203,18382,22816,21387
2005,철원군,48933,18087,25191,23742
2005,화천군,23732,9731,12451,11281
2005,양구군,21480,8261,11089,10391
2005,인제군,32811,12796,17144,15667
2005,고성군,31964,12698,16231,15733
2005,양양군,29132,11723,14791,14341
2006,춘천시,256239,96802,126620,129619
2006,원주시,294155,110023,146694,147461
2006,강릉시,222016,85372,110622,111394
2006,동해시,97497,36760,49282,48215
2006,태백시,51593,20386,26488,25105
2006,속초시,86073,34921,42458,43615
2006,삼척시,71750,28366,36146,35604
2006,홍천군,70037,27197,35727,34310
2006,횡성군,42982,16883,21922,21060
2006,영월군,40511,16834,20594,19917
