시도교육청코드,시도교육청명,행정표준코드,학교명,식사코드,식사명,급식일자,급식인원수,요리명,원산지정보,칼로리정보,영양정보,수정일자
K10,강원특별자치도교육청,7801185,춘천고등학교,3,석식,20260401,230.00,쌀밥 <br/>등촌샤브샤브떡국 (5.6.16)<br/>골뱅이무침*소면 (5.6.13.17)<br/>두툼동그랑땡전 (1.2.5.6.10.15.16)<br/>고추튀김 (1.5.6.10.18)<br/>배추김치 (9),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 수입산<br/>콩 가공품 : 수입산<br/>낙지 : 중국산<br/>명태 : 러시아산<br/>명태 수산가공품 : 러시아산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>참조기 수산가공품 : 국내산<br/>다랑어 : 원양산<br/>다랑어 수산가공품 : 원양산<br/>아귀 : 국내산<br/>아귀 수산가공품 : 국내산<br/>주꾸미 : 베트남산<br/>주꾸미 수산가공품 : 베트남산<br/>비고 : ,1012.7 Kcal,탄수화물(g) : 154.1<br/>단백질(g) : 40.0<br/>지방(g) : 25.2<br/>비타민A(R.E) : 151.1<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 13.8<br/>칼슘(mg) : 151.9<br/>철분(mg) : 4.1,20260408
K10,강원특별자치도교육청,7801185,춘천고등학교,3,석식,20260402,230.00,깍두기볶음밥 (1.2.5.6.9.10.13.15.16.18)<br/>근대된장국 (5.6)<br/>건파래자반 <br/>오리엔탈파스타 (1.2.5.6.12.13)<br/>멘츠까스*소스 (1.5.6.10)<br/>배추김치 (9),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 수입산<br/>콩 가공품 : 수입산<br/>낙지 : 중국산<br/>명태 : 러시아산<br/>명태 수산가공품 : 러시아산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>참조기 수산가공품 : 국내산<br/>다랑어 : 원양산<br/>다랑어 수산가공품 : 원양산<br/>아귀 : 국내산<br/>아귀 수산가공품 : 국내산<br/>주꾸미 : 베트남산<br/>주꾸미 수산가공품 : 베트남산<br/>비고 : ,946.7 Kcal,탄수화물(g) : 121.9<br/>단백질(g) : 26.8<br/>지방(g) : 38.6<br/>비타민A(R.E) : 210.7<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 23.0<br/>칼슘(mg) : 196.0<br/>철분(mg) : 3.7,20260409
K10,강원특별자치도교육청,7801185,춘천고등학교,3,석식,20260406,230.00,나시고랭 (2.5.6.9.12.13.16.18)<br/>미니차돌쌀국수 (5.6.15.16.18)<br/>꼬들단무지무침 (13)<br/>넴롤짜조 (1.5.6.10.16.18)<br/>닭윙오븐구이*칠리소스 (5.6.12.13.15)<br/>배추김치 (9),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 수입산<br/>콩 가공품 : 수입산<br/>낙지 : 중국산<br/>명태 : 러시아산<br/>명태 수산가공품 : 러시아산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>참조기 수산가공품 : 국내산<br/>다랑어 : 원양산<br/>다랑어 수산가공품 : 원양산<br/>아귀 : 국내산<br/>아귀 수산가공품 : 국내산<br/>주꾸미 : 베트남산<br/>주꾸미 수산가공품 : 베트남산<br/>비고 : ,978.5 Kcal,탄수화물(g) : 146.9<br/>단백질(g) : 46.3<br/>지방(g) : 19.8<br/>비타민A(R.E) : 107.0<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 15.5<br/>칼슘(mg) : 116.5<br/>철분(mg) : 4.3,20260413
K10,강원특별자치도교육청,7801185,춘천고등학교,3,석식,20260407,230.00,쌀밥 <br/>참치김치찌개 (5.9.16.18)<br/>마늘쫑고추장무침 (5.6.13)<br/>데리야끼돈육구이 (5.6.10.13)<br/>동글떡꼬치 (5.6.12.13)<br/>깍두기 (9)<br/>요구르트 (2),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 수입산<br/>콩 가공품 : 수입산<br/>낙지 : 중국산<br/>명태 : 러시아산<br/>명태 수산가공품 : 러시아산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>참조기 수산가공품 : 국내산<br/>다랑어 : 원양산<br/>다랑어 수산가공품 : 원양산<br/>아귀 : 국내산<br/>아귀 수산가공품 : 국내산<br/>주꾸미 : 베트남산<br/>주꾸미 수산가공품 : 베트남산<br/>비고 : ,954.9 Kcal,탄수화물(g) : 132.4<br/>단백질(g) : 40.6<br/>지방(g) : 27.7<br/>비타민A(R.E) : 80.3<br/>티아민(mg) : 1.1<br/>리보플라빈(mg) : 0.8<br/>비타민C(mg) : 24.1<br/>칼슘(mg) : 243.8<br/>철분(mg) : 4.0,20260414
K10,강원특별자치도교육청,7801185,춘천고등학교,3,석식,20260408,230.00,쌀밥 <br/>몽글순두부탕 (5.6)<br/>고사리볶음 <br/>고추잡채*꽃빵 (5.6)<br/>닭불고기 (5.6.13.15.18)<br/>배추김치 (9),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 수입산<br/>콩 가공품 : 수입산<br/>낙지 : 중국산<br/>명태 : 러시아산<br/>명태 수산가공품 : 러시아산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>참조기 수산가공품 : 국내산<br/>다랑어 : 원양산<br/>다랑어 수산가공품 : 원양산<br/>아귀 : 국내산<br/>아귀 수산가공품 : 국내산<br/>주꾸미 : 베트남산<br/>주꾸미 수산가공품 : 베트남산<br/>비고 : ,924.0 Kcal,탄수화물(g) : 119.4<br/>단백질(g) : 49.3<br/>지방(g) : 25.9<br/>비타민A(R.E) : 108.5<br/>티아민(mg) : 0.7<br/>리보플라빈(mg) : 0.8<br/>비타민C(mg) : 39.0<br/>칼슘(mg) : 203.4<br/>철분(mg) : 4.5,20260415
K10,강원특별자치도교육청,7801185,춘천고등학교,3,석식,20260409,230.00,쇠고기볶음밥 (5.6.16)<br/>크루통크림스프 (2.5.6.13.16)<br/>브로콜리흑임자샐러드 (1.5)<br/>생선까스*타르타르소스 (1.5.6.13)<br/>슬라이스감자치즈구이 (1.2.5)<br/>깍두기 (9),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 수입산<br/>콩 가공품 : 수입산<br/>낙지 : 중국산<br/>명태 : 러시아산<br/>명태 수산가공품 : 러시아산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>참조기 수산가공품 : 국내산<br/>다랑어 : 원양산<br/>다랑어 수산가공품 : 원양산<br/>아귀 : 국내산<br/>아귀 수산가공품 : 국내산<br/>주꾸미 : 베트남산<br/>주꾸미 수산가공품 : 베트남산<br/>비고 : ,969.9 Kcal,탄수화물(g) : 155.5<br/>단백질(g) : 36.4<br/>지방(g) : 20.7<br/>비타민A(R.E) : 116.7<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 28.8<br/>칼슘(mg) : 250.2<br/>철분(mg) : 4.7,20260416
K10,강원특별자치도교육청,7801185,춘천고등학교,3,석식,20260413,230.00,토핑유부초밥 (1.2.5.6.10.13.15.16.18)<br/>미니우동 (1.2.5.6.7.9.13.18)<br/>타코샐러드 (1.2.5.6.12.13.16)<br/>허니버터순살치킨 (2.5.6.15)<br/>배추김치 (9)<br/>아이스망고 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 수입산<br/>콩 가공품 : 수입산<br/>낙지 : 중국산<br/>명태 : 러시아산<br/>명태 수산가공품 : 러시아산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>참조기 수산가공품 : 국내산<br/>다랑어 : 원양산<br/>다랑어 수산가공품 : 원양산<br/>아귀 : 국내산<br/>아귀 수산가공품 : 국내산<br/>주꾸미 : 베트남산<br/>주꾸미 수산가공품 : 베트남산<br/>비고 : ,917.4 Kcal,탄수화물(g) : 120.5<br/>단백질(g) : 45.5<br/>지방(g) : 27.0<br/>비타민A(R.E) : 169.4<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 15.8<br/>칼슘(mg) : 356.7<br/>철분(mg) : 4.6,20260420
K10,강원특별자치도교육청,7801185,춘천고등학교,3,석식,20260414,230.00,쌀밥 <br/>쑥갓어묵국 (1.5.6.7.13.18)<br/>도토리묵무침 (5.6.13)<br/>빨간콩나물잡채 (5.6.13)<br/>미나리소불고기 (5.6.13.16)<br/>깍두기 (9),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 수입산<br/>콩 가공품 : 수입산<br/>낙지 : 중국산<br/>명태 : 러시아산<br/>명태 수산가공품 : 러시아산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>참조기 수산가공품 : 국내산<br/>다랑어 : 원양산<br/>다랑어 수산가공품 : 원양산<br/>아귀 : 국내산<br/>아귀 수산가공품 : 국내산<br/>주꾸미 : 베트남산<br/>주꾸미 수산가공품 : 베트남산<br/>비고 : ,809.6 Kcal,탄수화물(g) : 135.1<br/>단백질(g) : 28.6<br/>지방(g) : 16.2<br/>비타민A(R.E) : 197.8<br/>티아민(mg) : 0.3<br/>리보플라빈(mg) : 0.8<br/>비타민C(mg) : 16.8<br/>칼슘(mg) : 194.1<br/>철분(mg) : 5.4,20260421
K10,강원특별자치도교육청,7801185,춘천고등학교,3,석식,20260415,230.00,쌀밥 <br/>짬뽕파스타 (1.5.6.9.10.12.13.16.17.18)<br/>치즈화덕피자*스틱꿀 (1.2.5.6.10.12.13.15.16)<br/>허브솔트닭다리구이 (15)<br/>배추김치 (9)<br/>야채피클 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 수입산<br/>콩 가공품 : 수입산<br/>낙지 : 중국산<br/>명태 : 러시아산<br/>명태 수산가공품 : 러시아산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>참조기 수산가공품 : 국내산<br/>다랑어 : 원양산<br/>다랑어 수산가공품 : 원양산<br/>아귀 : 국내산<br/>아귀 수산가공품 : 국내산<br/>주꾸미 : 베트남산<br/>주꾸미 수산가공품 : 베트남산<br/>비고 : ,996.2 Kcal,탄수화물(g) : 148.8<br/>단백질(g) : 49.9<br/>지방(g) : 21.5<br/>비타민A(R.E) : 77.1<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 11.7<br/>칼슘(mg) : 385.3<br/>철분(mg) : 5.5,20260422
K10,강원특별자치도교육청,7801185,춘천고등학교,3,석식,20260416,230.00,쌀밥 <br/>뼈없는우거지감자탕 (5.6.10.16)<br/>계란찜 (1)<br/>오징어볶음 (5.6.13.17)<br/>마늘만두강정 (1.5.6.10.13.15.16.18)<br/>배추김치 (9),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 수입산<br/>콩 가공품 : 수입산<br/>낙지 : 중국산<br/>명태 : 러시아산<br/>명태 수산가공품 : 러시아산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>참조기 수산가공품 : 국내산<br/>다랑어 : 원양산<br/>다랑어 수산가공품 : 원양산<br/>아귀 : 국내산<br/>아귀 수산가공품 : 국내산<br/>주꾸미 : 베트남산<br/>주꾸미 수산가공품 : 베트남산<br/>비고 : ,1035.6 Kcal,탄수화물(g) : 120.3<br/>단백질(g) : 68.2<br/>지방(g) : 27.9<br/>비타민A(R.E) : 277.9<br/>티아민(mg) : 1.3<br/>리보플라빈(mg) : 1.1<br/>비타민C(mg) : 20.6<br/>칼슘(mg) : 205.9<br/>철분(mg) : 6.6,20260423
