시도교육청코드,시도교육청명,행정표준코드,학교명,식사코드,식사명,급식일자,급식인원수,요리명,원산지정보,칼로리정보,영양정보,수정일자
K10,강원특별자치도교육청,7801185,춘천고등학교,2,중식,20260303,830.00,오곡찰밥 (5)<br/>쇠고기미역국 (16)<br/>들기름막국수 (3.5.6.13)<br/>취나물볶음 (5.6.13)<br/>LA돼지갈비고추장구이 (5.6.10.13.18)<br/>봄동겉절이 (13)<br/>미니호두파이 (1.2.5.6.14),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 수입산<br/>콩 가공품 : 수입산<br/>낙지 : 중국산<br/>명태 : 러시아산<br/>명태 수산가공품 : 러시아산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>참조기 수산가공품 : 국내산<br/>다랑어 : 원양산<br/>다랑어 수산가공품 : 원양산<br/>아귀 : 국내산<br/>아귀 수산가공품 : 국내산<br/>주꾸미 : 베트남산<br/>주꾸미 수산가공품 : 베트남산<br/>비고 : ,971.7 Kcal,탄수화물(g) : 131.5<br/>단백질(g) : 45.0<br/>지방(g) : 28.7<br/>비타민A(R.E) : 78.7<br/>티아민(mg) : 1.0<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 17.3<br/>칼슘(mg) : 183.9<br/>철분(mg) : 6.0,20260310
K10,강원특별자치도교육청,7801185,춘천고등학교,2,중식,20260304,830.00,흑미밥 <br/>파송송계란탕 (1.5.6)<br/>칼낙지 (5.6.13)<br/>감자채전 (5.6)<br/>목화솜탕수육 (1.5.6.10.11)<br/>배추김치 (9),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 수입산<br/>콩 가공품 : 수입산<br/>낙지 : 중국산<br/>명태 : 러시아산<br/>명태 수산가공품 : 러시아산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>참조기 수산가공품 : 국내산<br/>다랑어 : 원양산<br/>다랑어 수산가공품 : 원양산<br/>아귀 : 국내산<br/>아귀 수산가공품 : 국내산<br/>주꾸미 : 베트남산<br/>주꾸미 수산가공품 : 베트남산<br/>비고 : ,966.7 Kcal,탄수화물(g) : 141.9<br/>단백질(g) : 52.2<br/>지방(g) : 17.1<br/>비타민A(R.E) : 83.8<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 12.0<br/>칼슘(mg) : 252.4<br/>철분(mg) : 12.4,20260311
K10,강원특별자치도교육청,7801185,춘천고등학교,2,중식,20260305,830.00,소고기카레라이스 (2.5.6.12.13.16.18)<br/>유부가쓰오장국 (1.2.5.6.7.9.10.13.16.18)<br/>흑임자두부샐러드 (5.6)<br/>치킨까스*참깨소스 (1.5.6.15.18)<br/>배추김치 (9)<br/>리치주스 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 수입산<br/>콩 가공품 : 수입산<br/>낙지 : 중국산<br/>명태 : 러시아산<br/>명태 수산가공품 : 러시아산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>참조기 수산가공품 : 국내산<br/>다랑어 : 원양산<br/>다랑어 수산가공품 : 원양산<br/>아귀 : 국내산<br/>아귀 수산가공품 : 국내산<br/>주꾸미 : 베트남산<br/>주꾸미 수산가공품 : 베트남산<br/>비고 : ,920.2 Kcal,탄수화물(g) : 144.9<br/>단백질(g) : 40.9<br/>지방(g) : 20.4<br/>비타민A(R.E) : 74.0<br/>티아민(mg) : 0.7<br/>리보플라빈(mg) : 2.1<br/>비타민C(mg) : 59.3<br/>칼슘(mg) : 212.9<br/>철분(mg) : 4.2,20260312
K10,강원특별자치도교육청,7801185,춘천고등학교,2,중식,20260306,830.00,귀리밥 <br/>표고시래기된장국 (5.6)<br/>한돈김치찜 (5.6.9.10.13)<br/>야채계란말이 (1.2.5.6.10.12.15.16)<br/>청경채겉절이 (13)<br/>깍두기 (9)<br/>춘천 배 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 수입산<br/>콩 가공품 : 수입산<br/>낙지 : 중국산<br/>명태 : 러시아산<br/>명태 수산가공품 : 러시아산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>참조기 수산가공품 : 국내산<br/>다랑어 : 원양산<br/>다랑어 수산가공품 : 원양산<br/>아귀 : 국내산<br/>아귀 수산가공품 : 국내산<br/>주꾸미 : 베트남산<br/>주꾸미 수산가공품 : 베트남산<br/>비고 : ,795.6 Kcal,탄수화물(g) : 105.2<br/>단백질(g) : 45.9<br/>지방(g) : 20.0<br/>비타민A(R.E) : 218.1<br/>티아민(mg) : 1.0<br/>리보플라빈(mg) : 0.7<br/>비타민C(mg) : 23.3<br/>칼슘(mg) : 235.0<br/>철분(mg) : 4.8,20260313
K10,강원특별자치도교육청,7801185,춘천고등학교,2,중식,20260309,830.00,잡곡밥 (5)<br/>된장찌개 (5.6)<br/>오이고추쌈장무침 (5.6)<br/>제육볶음 (5.6.10.13)<br/>새우숙주볶음 (5.6.9.13.18)<br/>깍두기 (9)<br/>우리밀4쪽마늘빵 (2.5.6),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 수입산<br/>콩 가공품 : 수입산<br/>낙지 : 중국산<br/>명태 : 러시아산<br/>명태 수산가공품 : 러시아산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>참조기 수산가공품 : 국내산<br/>다랑어 : 원양산<br/>다랑어 수산가공품 : 원양산<br/>아귀 : 국내산<br/>아귀 수산가공품 : 국내산<br/>주꾸미 : 베트남산<br/>주꾸미 수산가공품 : 베트남산<br/>비고 : ,886.9 Kcal,탄수화물(g) : 106.8<br/>단백질(g) : 56.0<br/>지방(g) : 23.8<br/>비타민A(R.E) : 45.1<br/>티아민(mg) : 1.2<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 41.6<br/>칼슘(mg) : 157.0<br/>철분(mg) : 4.6,20260316
K10,강원특별자치도교육청,7801185,춘천고등학교,2,중식,20260310,830.00,쌀밥 <br/>해물중화짬뽕 (5.6.9.13.17.18)<br/>단무지 <br/>오이탕탕이 (13)<br/>깐풍기 (1.5.6.12.13.15)<br/>배추김치 (9)<br/>요구르트 (2),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 수입산<br/>콩 가공품 : 수입산<br/>낙지 : 중국산<br/>명태 : 러시아산<br/>명태 수산가공품 : 러시아산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>참조기 수산가공품 : 국내산<br/>다랑어 : 원양산<br/>다랑어 수산가공품 : 원양산<br/>아귀 : 국내산<br/>아귀 수산가공품 : 국내산<br/>주꾸미 : 베트남산<br/>주꾸미 수산가공품 : 베트남산<br/>비고 : ,977.6 Kcal,탄수화물(g) : 154.3<br/>단백질(g) : 54.2<br/>지방(g) : 17.2<br/>비타민A(R.E) : 59.0<br/>티아민(mg) : 0.3<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 22.3<br/>칼슘(mg) : 217.4<br/>철분(mg) : 6.6,20260317
K10,강원특별자치도교육청,7801185,춘천고등학교,2,중식,20260311,830.00,현미밥 <br/>청국장찌개 (5.6.9.10)<br/>연근분모자찜닭 (2.5.6.13.15.18)<br/>브로콜리숙회*초장 (5.6)<br/>깍두기 (9)<br/>도시락김 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 수입산<br/>콩 가공품 : 수입산<br/>낙지 : 중국산<br/>명태 : 러시아산<br/>명태 수산가공품 : 러시아산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>참조기 수산가공품 : 국내산<br/>다랑어 : 원양산<br/>다랑어 수산가공품 : 원양산<br/>아귀 : 국내산<br/>아귀 수산가공품 : 국내산<br/>주꾸미 : 베트남산<br/>주꾸미 수산가공품 : 베트남산<br/>비고 : ,827.0 Kcal,탄수화물(g) : 118.5<br/>단백질(g) : 46.9<br/>지방(g) : 17.0<br/>비타민A(R.E) : 166.5<br/>티아민(mg) : 0.6<br/>리보플라빈(mg) : 0.7<br/>비타민C(mg) : 31.1<br/>칼슘(mg) : 164.6<br/>철분(mg) : 4.3,20260318
K10,강원특별자치도교육청,7801185,춘천고등학교,2,중식,20260312,830.00,찰기장밥 <br/>사골만둣국 (1.5.6.10.16.18)<br/>방풍나물무침 (5.6)<br/>소떡케첩볶음 (2.5.6.10.12.13.15.16)<br/>가자미살카레구이 (2.5.6.12.13.16.18)<br/>깍두기 (9)<br/>포도주스 (13),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 수입산<br/>콩 가공품 : 수입산<br/>낙지 : 중국산<br/>명태 : 러시아산<br/>명태 수산가공품 : 러시아산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>참조기 수산가공품 : 국내산<br/>다랑어 : 원양산<br/>다랑어 수산가공품 : 원양산<br/>아귀 : 국내산<br/>아귀 수산가공품 : 국내산<br/>주꾸미 : 베트남산<br/>주꾸미 수산가공품 : 베트남산<br/>비고 : ,953.7 Kcal,탄수화물(g) : 132.1<br/>단백질(g) : 43.0<br/>지방(g) : 26.7<br/>비타민A(R.E) : 80.0<br/>티아민(mg) : 0.6<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 30.3<br/>칼슘(mg) : 216.7<br/>철분(mg) : 3.9,20260319
K10,강원특별자치도교육청,7801185,춘천고등학교,2,중식,20260313,830.00,김가루조미밥 (1.2.5.6.9.13.16.18)<br/>청양초콩나물국 (5)<br/>참나물무침 <br/>닭우동볶음 (5.6.13.15)<br/>사각어묵볶음 (1.5.6.13)<br/>백김치 (9)<br/>핫도그사라다빵 (1.2.5.6.10.12.15.18),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 수입산<br/>콩 가공품 : 수입산<br/>낙지 : 중국산<br/>명태 : 러시아산<br/>명태 수산가공품 : 러시아산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>참조기 수산가공품 : 국내산<br/>다랑어 : 원양산<br/>다랑어 수산가공품 : 원양산<br/>아귀 : 국내산<br/>아귀 수산가공품 : 국내산<br/>주꾸미 : 베트남산<br/>주꾸미 수산가공품 : 베트남산<br/>비고 : ,1054.6 Kcal,탄수화물(g) : 153.1<br/>단백질(g) : 48.1<br/>지방(g) : 24.9<br/>비타민A(R.E) : 171.1<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 14.0<br/>칼슘(mg) : 392.8<br/>철분(mg) : 4.3,20260320
K10,강원특별자치도교육청,7801185,춘천고등학교,2,중식,20260316,830.00,베이컨김치볶음밥 (1.5.6.9.10.13)<br/>유채된장국 (5.6)<br/>떡갈비통마늘조림 (5.6.10.13.15.16.18)<br/>김말이튀김 (1.5.6.16)<br/>열무김치 (9)<br/>시리얼과일샐러드 (1.5.6.12.13),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 수입산<br/>콩 가공품 : 수입산<br/>낙지 : 중국산<br/>명태 : 러시아산<br/>명태 수산가공품 : 러시아산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>참조기 수산가공품 : 국내산<br/>다랑어 : 원양산<br/>다랑어 수산가공품 : 원양산<br/>아귀 : 국내산<br/>아귀 수산가공품 : 국내산<br/>주꾸미 : 베트남산<br/>주꾸미 수산가공품 : 베트남산<br/>비고 : ,876.3 Kcal,탄수화물(g) : 119.7<br/>단백질(g) : 26.7<br/>지방(g) : 33.0<br/>비타민A(R.E) : 189.1<br/>티아민(mg) : 1.8<br/>리보플라빈(mg) : 0.8<br/>비타민C(mg) : 42.1<br/>칼슘(mg) : 172.1<br/>철분(mg) : 11.1,20260323
