급식일자,급식월,요리명,유형
20260303,03월,오곡찰밥,밥
20260303,03월,쇠고기미역국,국
20260303,03월,들기름막국수,메인메뉴
20260303,03월,취나물볶음,반찬
20260303,03월,LA돼지갈비고추장구이,메인메뉴
20260303,03월,봄동겉절이,반찬
20260303,03월,미니호두파이,후식
20260304,03월,흑미밥,밥
20260304,03월,파송송계란탕,국
20260304,03월,칼낙지,메인메뉴
20260304,03월,감자채전,반찬
20260304,03월,목화솜탕수육,메인메뉴
20260304,03월,배추김치,반찬
20260305,03월,소고기카레라이스,밥
20260305,03월,유부가쓰오장국,국
20260305,03월,흑임자두부샐러드,반찬
20260305,03월,치킨까스*참깨소스,메인메뉴
20260305,03월,배추김치,반찬
20260305,03월,리치주스,후식
20260306,03월,귀리밥,밥
20260306,03월,표고시래기된장국,국
20260306,03월,한돈김치찜,반찬
20260306,03월,야채계란말이,반찬
20260306,03월,청경채겉절이,반찬
20260306,03월,깍두기,반찬
20260306,03월,춘천 배,후식
20260309,03월,잡곡밥,밥
20260309,03월,된장찌개,국
20260309,03월,오이고추쌈장무침,반찬
20260309,03월,제육볶음,메인메뉴
20260309,03월,새우숙주볶음,메인메뉴
20260309,03월,깍두기,반찬
20260309,03월,우리밀4쪽마늘빵,후식
20260310,03월,쌀밥,밥
20260310,03월,해물중화짬뽕,메인메뉴
20260310,03월,단무지,반찬
20260310,03월,오이탕탕이,메인메뉴
20260310,03월,깐풍기,메인메뉴
20260310,03월,배추김치,반찬
20260310,03월,요구르트,후식
20260311,03월,현미밥,밥
20260311,03월,청국장찌개,국
20260311,03월,연근분모자찜닭,메인메뉴
20260311,03월,브로콜리숙회*초장,반찬
20260311,03월,깍두기,반찬
20260311,03월,도시락김,반찬
20260312,03월,찰기장밥,밥
20260312,03월,사골만둣국,국
20260312,03월,방풍나물무침,반찬
20260312,03월,소떡케첩볶음,메인메뉴
20260312,03월,가자미살카레구이,메인메뉴
20260312,03월,깍두기,반찬
20260312,03월,포도주스,후식
20260313,03월,김가루조미밥,밥
20260313,03월,청양초콩나물국,반찬
20260313,03월,참나물무침,반찬
20260313,03월,닭우동볶음,메인메뉴
20260313,03월,사각어묵볶음,메인메뉴
20260313,03월,백김치,반찬
20260313,03월,핫도그사라다빵,후식
20260316,03월,베이컨김치볶음밥,반찬
20260316,03월,유채된장국,국
20260316,03월,떡갈비통마늘조림,메인메뉴
20260316,03월,김말이튀김,반찬
20260316,03월,열무김치,반찬
20260316,03월,시리얼과일샐러드,반찬
20260317,03월,잡곡밥,밥
20260317,03월,낙지연포탕,국
20260317,03월,양배추찜*참치쌈장,반찬
20260317,03월,바싹불고기,메인메뉴
20260317,03월,미니메밀전병,메인메뉴
20260317,03월,배추김치,반찬
20260318,03월,흑미밥,밥
20260318,03월,된장소면,메인메뉴
20260318,03월,미역줄기볶음,반찬
20260318,03월,닭볶음탕,메인메뉴
20260318,03월,햄달걀전,반찬
20260318,03월,배추김치,반찬
20260318,03월,망고주스,후식
20260319,03월,쌀밥,밥
20260319,03월,토마토미트스파게티,메인메뉴
20260319,03월,콘크림스프,국
20260319,03월,웨지감자,반찬
20260319,03월,치즈함박스테이크,메인메뉴
20260319,03월,배추김치,반찬
20260319,03월,그린샐러드,반찬
20260320,03월,차수수밥,밥
20260320,03월,쇠고기무국,국
20260320,03월,잡채,반찬
20260320,03월,고추장훈제오리볶음,메인메뉴
20260320,03월,배추김치,반찬
20260320,03월,무쌈,반찬
20260320,03월,골드키위푸딩,후식
20260323,03월,감자취나물밥*양념장,반찬
20260323,03월,들깨수제비,반찬
20260323,03월,청포묵김가루무침,반찬
20260323,03월,바베큐닭꼬치,메인메뉴
20260323,03월,배추김치,반찬
20260323,03월,사과주스,후식
20260324,03월,차수수밥,밥
20260324,03월,근대된장국,국
20260324,03월,고등어무조림,반찬
20260324,03월,열무고추장무침,반찬
20260324,03월,광장시장고기완자전,메인메뉴
20260324,03월,배추김치,반찬
20260324,03월,요플레,후식
20260325,03월,현미밥,밥
20260325,03월,부대찌개*쫄면사리,국
20260325,03월,감자채두부조림,반찬
20260325,03월,치커리사과무침,반찬
20260325,03월,버섯돼지불고기,메인메뉴
20260325,03월,깍두기,반찬
20260326,03월,잡곡밥,밥
20260326,03월,목살고추장찌개,국
20260326,03월,건파래자반,반찬
20260326,03월,꽈리고추잔멸치볶음,반찬
20260326,03월,미소꿀닭갈비,메인메뉴
20260326,03월,섞박지,반찬
20260326,03월,아이스슈,후식
20260327,03월,김밥볶음밥,반찬
20260327,03월,야채쫄면,반찬
20260327,03월,꼬치어묵탕,국
20260327,03월,가래떡떡볶이,메인메뉴
20260327,03월,당면만두,반찬
20260327,03월,배추김치,반찬
20260327,03월,레드자몽에이드,후식
20260330,03월,흑미밥,밥
20260330,03월,닭곰탕,국
20260330,03월,콩나물무침,반찬
20260330,03월,임연수구이,메인메뉴
20260330,03월,곤드레미니떡갈비구이*케첩,메인메뉴
20260330,03월,깍두기,반찬
20260331,03월,현미밥,밥
20260331,03월,배추된장국,국
20260331,03월,메추리알조림,반찬
20260331,03월,매콤돼지갈비찜,메인메뉴
20260331,03월,머위나물볶음,반찬
20260331,03월,깍두기,반찬
20260331,03월,감귤주스,후식
20260401,04월,투움바켄치밥,밥
20260401,04월,오이지무침,반찬
20260401,04월,감자튀김,반찬
20260401,04월,콘크러스트피자,메인메뉴
20260401,04월,배추김치,반찬
20260401,04월,뻥튀기,후식
20260401,04월,오렌지주스,후식
20260402,04월,잡곡밥,밥
20260402,04월,들기름미역국,국
20260402,04월,시금치무침,반찬
20260402,04월,볼어묵볶음,메인메뉴
20260402,04월,고추장제육불고기,메인메뉴
20260402,04월,의성마늘핫도그,메인메뉴
20260402,04월,배추김치,반찬
20260403,04월,현미밥,밥
20260403,04월,짬뽕순두부찌개,메인메뉴
20260403,04월,짜장찜닭,메인메뉴
20260403,04월,실곤약야채무침,반찬
20260403,04월,교자만두,반찬
20260403,04월,백김치,반찬
20260403,04월,요구르트,후식
20260406,04월,차수수밥,밥
20260406,04월,동태찌개,국
20260406,04월,두부찜,반찬
20260406,04월,김치제육두루치기,반찬
20260406,04월,떡잡채,반찬
20260406,04월,열무김치,반찬
20260406,04월,딸기,후식
20260407,04월,흑미밥,밥
20260407,04월,사골떡국,국
20260407,04월,세발나물무침,반찬
20260407,04월,오리로스볶음,메인메뉴
20260407,04월,매콤팽이버섯구이,메인메뉴
20260407,04월,깍두기,반찬
20260407,04월,복숭아에이드,후식
20260408,04월,쌀밥,밥
20260408,04월,배추된장국,국
20260408,04월,수제사태족발,반찬
20260408,04월,쟁반막국수,메인메뉴
20260408,04월,상추쌈,반찬
20260408,04월,무김치,반찬
20260408,04월,식혜,후식
20260409,04월,잡곡밥,밥
20260409,04월,목살고추장찌개,국
20260409,04월,단호박샐러드,반찬
20260409,04월,미나리초장무침,반찬
20260409,04월,들깨백닭갈비,메인메뉴
20260409,04월,배추김치,반찬
20260409,04월,스테비아방울토마토,후식
20260410,04월,쌀밥,밥
20260410,04월,크림스프*마늘바게트,국
20260410,04월,만다린샐러드,반찬
20260410,04월,푸실리파스타,메인메뉴
20260410,04월,파파돈까스,메인메뉴
20260410,04월,배추김치,반찬
20260413,04월,현미밥,밥
